Gene_name	Multiplicity	Frequency
IGHV1-18	55	0.055
IGHV1-2	60	0.06
IGHV1-24	7	0.007
IGHV1-3	6	0.006
IGHV1-46	25	0.025
IGHV1-58	7	0.007
IGHV1-69	38	0.038
IGHV1-69-2	1	0.001
IGHV1-8	37	0.037
IGHV2-5	7	0.007
IGHV2-70	4	0.004
IGHV3-11	19	0.019
IGHV3-13	10	0.01
IGHV3-15	16	0.016
IGHV3-21	21	0.021
IGHV3-22	1	0.001
IGHV3-23	112	0.112
IGHV3-30	91	0.091
IGHV3-30-3	22	0.022
IGHV3-33	21	0.021
IGHV3-43	7	0.007
IGHV3-48	25	0.025
IGHV3-49	3	0.003
IGHV3-53	30	0.03
IGHV3-64	9	0.009
IGHV3-64D	14	0.014
IGHV3-66	29	0.029
IGHV3-7	68	0.068
IGHV3-72	4	0.004
IGHV3-73	3	0.003
IGHV3-74	15	0.015
IGHV3-9	23	0.023
IGHV3-NL1	1	0.001
IGHV4-30-2	5	0.005
IGHV4-30-4	7	0.007
IGHV4-31	7	0.007
IGHV4-34	24	0.024
IGHV4-38-2	10	0.01
IGHV4-39	28	0.028
IGHV4-4	23	0.023
IGHV4-59	25	0.025
IGHV4-61	6	0.006
IGHV5-10-1	9	0.009
IGHV5-51	55	0.055
IGHV6-1	9	0.009
IGHV7-4-1	1	0.001
