	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	2	0	4	34	6	9
IGHV1-2	9	1	5	23	8	14
IGHV1-24	0	0	1	3	1	2
IGHV1-3	1	0	0	4	0	1
IGHV1-46	1	1	2	17	2	2
IGHV1-58	0	3	1	1	2	0
IGHV1-69	1	2	6	16	6	7
IGHV1-69-2	1	0	0	0	0	0
IGHV1-8	1	0	1	23	5	7
IGHV2-5	0	0	0	5	2	0
IGHV2-70	0	0	0	2	1	1
IGHV3-11	2	1	3	6	3	4
IGHV3-13	0	4	2	2	0	2
IGHV3-15	0	0	3	11	1	1
IGHV3-21	2	1	0	14	2	2
IGHV3-22	0	0	0	0	1	0
IGHV3-23	2	2	21	56	22	9
IGHV3-30	1	0	12	65	5	8
IGHV3-30-3	2	0	1	14	1	4
IGHV3-33	0	0	0	11	3	7
IGHV3-43	0	0	0	6	0	1
IGHV3-48	2	3	2	15	2	1
IGHV3-49	0	0	0	3	0	0
IGHV3-53	2	0	1	24	1	2
IGHV3-64	0	0	0	7	1	1
IGHV3-64D	0	1	1	12	0	0
IGHV3-66	1	4	2	19	1	2
IGHV3-7	1	0	7	54	3	3
IGHV3-72	0	0	1	3	0	0
IGHV3-73	0	0	0	2	0	1
IGHV3-74	0	2	1	8	4	0
IGHV3-9	0	1	6	9	0	7
IGHV3-NL1	1	0	0	0	0	0
IGHV4-30-2	0	0	2	1	1	1
IGHV4-30-4	0	0	1	3	1	2
IGHV4-31	0	1	2	4	0	0
IGHV4-34	0	2	1	15	4	2
IGHV4-38-2	0	0	0	8	1	1
IGHV4-39	0	2	5	13	5	3
IGHV4-4	0	3	1	17	1	1
IGHV4-59	2	2	4	14	2	1
IGHV4-61	0	0	2	2	2	0
IGHV5-10-1	0	1	0	6	2	0
IGHV5-51	1	5	3	33	6	7
IGHV6-1	0	1	3	4	0	1
IGHV7-4-1	0	0	0	1	0	0
