	V_gene	mutability
0	IGHV4-59 n=175	0.0
1	IGHV4-59 n=175	0.06
2	IGHV4-59 n=175	0.01
3	IGHV4-59 n=175	0.06
4	IGHV4-59 n=175	0.06
5	IGHV4-59 n=175	0.06
6	IGHV4-59 n=175	0.06
7	IGHV4-59 n=175	0.0
8	IGHV4-59 n=175	0.0
9	IGHV4-59 n=175	0.01
10	IGHV4-59 n=175	0.02
11	IGHV4-59 n=175	0.01
12	IGHV4-59 n=175	0.01
13	IGHV4-59 n=175	0.06
14	IGHV4-59 n=175	0.06
15	IGHV4-59 n=175	0.06
16	IGHV4-59 n=175	0.0
17	IGHV4-59 n=175	0.06
18	IGHV4-59 n=175	0.0
19	IGHV4-59 n=175	0.0
20	IGHV4-59 n=175	0.01
21	IGHV4-59 n=175	0.1
22	IGHV4-59 n=175	0.0
23	IGHV4-59 n=175	0.0
24	IGHV4-59 n=175	0.07
25	IGHV4-59 n=175	0.0
26	IGHV4-59 n=175	0.06
27	IGHV4-59 n=175	0.0
28	IGHV4-59 n=175	0.01
29	IGHV4-59 n=175	0.01
30	IGHV4-59 n=175	0.0
31	IGHV4-59 n=175	0.01
32	IGHV4-59 n=175	0.0
33	IGHV4-59 n=175	0.01
34	IGHV4-59 n=175	0.06
35	IGHV4-59 n=175	0.06
36	IGHV4-59 n=175	0.06
37	IGHV4-59 n=175	0.06
38	IGHV4-59 n=175	0.1
39	IGHV4-59 n=175	0.0
40	IGHV4-59 n=175	0.0
41	IGHV4-59 n=175	0.0
42	IGHV4-59 n=175	0.06
43	IGHV4-59 n=175	0.02
44	IGHV4-59 n=175	0.06
45	IGHV4-59 n=175	0.06
46	IGHV4-59 n=175	0.06
47	IGHV4-59 n=175	0.0
48	IGHV4-59 n=175	0.0
49	IGHV4-59 n=175	0.01
50	IGHV4-59 n=175	0.0
51	IGHV4-59 n=175	0.01
52	IGHV4-59 n=175	0.06
53	IGHV4-59 n=175	0.01
54	IGHV4-59 n=175	0.06
55	IGHV4-59 n=175	0.06
56	IGHV4-59 n=175	0.06
57	IGHV4-59 n=175	0.0
58	IGHV4-59 n=175	0.0
59	IGHV4-59 n=175	0.0
60	IGHV4-59 n=175	0.06
61	IGHV4-59 n=175	0.01
62	IGHV4-59 n=175	0.07
63	IGHV4-59 n=175	0.06
64	IGHV4-59 n=175	0.0
