	V_gene	mutability
0	IGHV3-7 n=760	0.07
1	IGHV3-7 n=760	0.07
2	IGHV3-7 n=760	0.05
3	IGHV3-7 n=760	0.05
4	IGHV3-7 n=760	0.07
5	IGHV3-7 n=760	0.07
6	IGHV3-7 n=760	0.07
7	IGHV3-7 n=760	0.08
8	IGHV3-7 n=760	0.05
9	IGHV3-7 n=760	0.08
10	IGHV3-7 n=760	0.03
11	IGHV3-7 n=760	0.07
12	IGHV3-7 n=760	0.09
13	IGHV3-7 n=760	0.07
14	IGHV3-7 n=760	0.07
15	IGHV3-7 n=760	0.06
16	IGHV3-7 n=760	0.07
17	IGHV3-7 n=760	0.05
18	IGHV3-7 n=760	0.07
19	IGHV3-7 n=760	0.07
20	IGHV3-7 n=760	0.06
21	IGHV3-7 n=760	0.04
22	IGHV3-7 n=760	0.08
23	IGHV3-7 n=760	0.07
24	IGHV3-7 n=760	0.04
25	IGHV3-7 n=760	0.07
26	IGHV3-7 n=760	0.07
27	IGHV3-7 n=760	0.08
28	IGHV3-7 n=760	0.05
29	IGHV3-7 n=760	0.08
30	IGHV3-7 n=760	0.06
31	IGHV3-7 n=760	0.07
32	IGHV3-7 n=760	0.05
33	IGHV3-7 n=760	0.05
34	IGHV3-7 n=760	0.08
35	IGHV3-7 n=760	0.07
36	IGHV3-7 n=760	0.11
37	IGHV3-7 n=760	0.07
38	IGHV3-7 n=760	0.07
39	IGHV3-7 n=760	0.07
40	IGHV3-7 n=760	0.09
41	IGHV3-7 n=760	0.07
42	IGHV3-7 n=760	0.06
43	IGHV3-7 n=760	0.07
44	IGHV3-7 n=760	0.06
45	IGHV3-7 n=760	0.07
46	IGHV3-7 n=760	0.07
47	IGHV3-7 n=760	0.07
48	IGHV3-7 n=760	0.08
49	IGHV3-7 n=760	0.07
50	IGHV3-7 n=760	0.07
51	IGHV3-7 n=760	0.07
52	IGHV3-7 n=760	0.07
53	IGHV3-7 n=760	0.07
54	IGHV3-7 n=760	0.1
55	IGHV3-7 n=760	0.07
56	IGHV3-7 n=760	0.08
57	IGHV3-7 n=760	0.07
58	IGHV3-7 n=760	0.05
59	IGHV3-7 n=760	0.08
60	IGHV3-7 n=760	0.05
61	IGHV3-7 n=760	0.07
62	IGHV3-7 n=760	0.07
63	IGHV3-7 n=760	0.07
64	IGHV3-7 n=760	0.07
65	IGHV3-7 n=760	0.05
66	IGHV3-7 n=760	0.07
67	IGHV3-7 n=760	0.07
68	IGHV3-7 n=760	0.06
69	IGHV3-7 n=760	0.08
70	IGHV3-7 n=760	0.07
71	IGHV3-7 n=760	0.08
72	IGHV3-7 n=760	0.07
73	IGHV3-7 n=760	0.05
74	IGHV3-7 n=760	0.07
75	IGHV3-7 n=760	0.03
76	IGHV3-7 n=760	0.08
77	IGHV3-7 n=760	0.07
78	IGHV3-7 n=760	0.07
79	IGHV3-7 n=760	0.07
80	IGHV3-7 n=760	0.08
81	IGHV3-7 n=760	0.07
82	IGHV3-7 n=760	0.07
83	IGHV3-7 n=760	0.04
84	IGHV3-7 n=760	0.07
85	IGHV3-7 n=760	0.09
86	IGHV3-7 n=760	0.1
87	IGHV3-7 n=760	0.07
88	IGHV3-7 n=760	0.06
89	IGHV3-7 n=760	0.07
90	IGHV3-7 n=760	0.08
91	IGHV3-7 n=760	0.07
92	IGHV3-7 n=760	0.07
93	IGHV3-7 n=760	0.05
94	IGHV3-7 n=760	0.07
95	IGHV3-7 n=760	0.07
96	IGHV3-7 n=760	0.05
97	IGHV3-7 n=760	0.07
98	IGHV3-7 n=760	0.08
99	IGHV3-7 n=760	0.07
100	IGHV3-7 n=760	0.11
101	IGHV3-7 n=760	0.08
102	IGHV3-7 n=760	0.08
103	IGHV3-7 n=760	0.06
104	IGHV3-7 n=760	0.07
105	IGHV3-7 n=760	0.07
106	IGHV3-7 n=760	0.07
107	IGHV3-7 n=760	0.04
108	IGHV3-7 n=760	0.07
109	IGHV3-7 n=760	0.07
110	IGHV3-7 n=760	0.05
111	IGHV3-7 n=760	0.1
112	IGHV3-7 n=760	0.08
113	IGHV3-7 n=760	0.07
114	IGHV3-7 n=760	0.06
115	IGHV3-7 n=760	0.07
116	IGHV3-7 n=760	0.08
117	IGHV3-7 n=760	0.09
118	IGHV3-7 n=760	0.08
119	IGHV3-7 n=760	0.07
120	IGHV3-7 n=760	0.05
121	IGHV3-7 n=760	0.07
122	IGHV3-7 n=760	0.08
123	IGHV3-7 n=760	0.11
124	IGHV3-7 n=760	0.1
125	IGHV3-7 n=760	0.09
126	IGHV3-7 n=760	0.07
127	IGHV3-7 n=760	0.06
128	IGHV3-7 n=760	0.07
129	IGHV3-7 n=760	0.04
130	IGHV3-7 n=760	0.07
131	IGHV3-7 n=760	0.07
132	IGHV3-7 n=760	0.06
133	IGHV3-7 n=760	0.04
134	IGHV3-7 n=760	0.08
135	IGHV3-7 n=760	0.04
136	IGHV3-7 n=760	0.07
137	IGHV3-7 n=760	0.07
138	IGHV3-7 n=760	0.03
139	IGHV3-7 n=760	0.09
140	IGHV3-7 n=760	0.07
141	IGHV3-7 n=760	0.08
142	IGHV3-7 n=760	0.07
143	IGHV3-7 n=760	0.07
144	IGHV3-7 n=760	0.08
145	IGHV3-7 n=760	0.07
146	IGHV3-7 n=760	0.07
147	IGHV3-7 n=760	0.07
148	IGHV3-7 n=760	0.1
149	IGHV3-7 n=760	0.07
150	IGHV3-7 n=760	0.1
151	IGHV3-7 n=760	0.08
152	IGHV3-7 n=760	0.07
153	IGHV3-7 n=760	0.07
154	IGHV3-7 n=760	0.07
155	IGHV3-7 n=760	0.07
156	IGHV3-7 n=760	0.07
157	IGHV3-7 n=760	0.06
158	IGHV3-7 n=760	0.09
159	IGHV3-7 n=760	0.07
160	IGHV3-7 n=760	0.07
161	IGHV3-7 n=760	0.06
162	IGHV3-7 n=760	0.07
163	IGHV3-7 n=760	0.07
164	IGHV3-7 n=760	0.07
165	IGHV3-7 n=760	0.07
166	IGHV3-7 n=760	0.08
167	IGHV3-7 n=760	0.07
168	IGHV3-7 n=760	0.07
169	IGHV3-7 n=760	0.1
170	IGHV3-7 n=760	0.07
171	IGHV3-7 n=760	0.05
172	IGHV3-7 n=760	0.07
173	IGHV3-7 n=760	0.07
174	IGHV3-7 n=760	0.09
175	IGHV3-7 n=760	0.07
176	IGHV3-7 n=760	0.07
177	IGHV3-7 n=760	0.09
178	IGHV3-7 n=760	0.07
179	IGHV3-7 n=760	0.1
180	IGHV3-7 n=760	0.07
181	IGHV3-7 n=760	0.07
182	IGHV3-7 n=760	0.06
183	IGHV3-7 n=760	0.07
184	IGHV3-7 n=760	0.07
185	IGHV3-7 n=760	0.07
186	IGHV3-7 n=760	0.08
187	IGHV3-7 n=760	0.07
188	IGHV3-7 n=760	0.08
189	IGHV3-7 n=760	0.05
190	IGHV3-7 n=760	0.1
191	IGHV3-7 n=760	0.06
192	IGHV3-7 n=760	0.11
193	IGHV3-7 n=760	0.04
194	IGHV3-7 n=760	0.09
195	IGHV3-7 n=760	0.07
196	IGHV3-7 n=760	0.04
197	IGHV3-7 n=760	0.1
198	IGHV3-7 n=760	0.07
199	IGHV3-7 n=760	0.06
200	IGHV3-7 n=760	0.07
201	IGHV3-7 n=760	0.05
202	IGHV3-7 n=760	0.06
203	IGHV3-7 n=760	0.07
204	IGHV3-7 n=760	0.09
205	IGHV3-7 n=760	0.07
206	IGHV3-7 n=760	0.06
207	IGHV3-7 n=760	0.07
208	IGHV3-7 n=760	0.07
209	IGHV3-7 n=760	0.08
210	IGHV3-7 n=760	0.08
211	IGHV3-7 n=760	0.06
212	IGHV3-7 n=760	0.07
213	IGHV3-7 n=760	0.07
214	IGHV3-7 n=760	0.07
215	IGHV3-7 n=760	0.07
216	IGHV3-7 n=760	0.08
217	IGHV3-7 n=760	0.06
218	IGHV3-7 n=760	0.07
219	IGHV3-7 n=760	0.07
220	IGHV3-7 n=760	0.07
221	IGHV3-7 n=760	0.08
222	IGHV3-7 n=760	0.07
223	IGHV3-7 n=760	0.05
224	IGHV3-7 n=760	0.07
225	IGHV3-7 n=760	0.07
226	IGHV3-7 n=760	0.07
227	IGHV3-7 n=760	0.06
228	IGHV3-7 n=760	0.07
229	IGHV3-7 n=760	0.06
230	IGHV3-7 n=760	0.07
231	IGHV3-7 n=760	0.06
232	IGHV3-7 n=760	0.06
