Gene_name	Multiplicity	Frequency
IGHV1-18	53	0.053
IGHV1-2	28	0.028
IGHV1-24	11	0.011
IGHV1-3	24	0.024
IGHV1-46	47	0.047
IGHV1-58	6	0.006
IGHV1-69	45	0.045
IGHV1-8	20	0.02
IGHV2-26	2	0.002
IGHV2-5	14	0.014
IGHV2-70	6	0.006
IGHV3-11	16	0.016
IGHV3-13	7	0.007
IGHV3-15	19	0.019
IGHV3-21	37	0.037
IGHV3-23	49	0.049
IGHV3-30	21	0.021
IGHV3-30-3	20	0.02
IGHV3-33	54	0.054
IGHV3-43	4	0.004
IGHV3-48	27	0.027
IGHV3-49	9	0.009
IGHV3-53	6	0.006
IGHV3-64D	2	0.002
IGHV3-66	18	0.018
IGHV3-7	23	0.023
IGHV3-72	1	0.001
IGHV3-73	2	0.002
IGHV3-74	19	0.019
IGHV3-9	15	0.015
IGHV4-30-2	6	0.006
IGHV4-30-4	6	0.006
IGHV4-31	10	0.01
IGHV4-34	61	0.061
IGHV4-39	55	0.055
IGHV4-4	23	0.023
IGHV4-59	175	0.175
IGHV5-10-1	2	0.002
IGHV5-51	51	0.051
IGHV6-1	5	0.005
IGHV7-4-1	1	0.001
