	V_gene	mutability
0	IGHV3-23 n=112	0.06
1	IGHV3-23 n=112	0.1
2	IGHV3-23 n=112	0.05
3	IGHV3-23 n=112	0.03
4	IGHV3-23 n=112	0.08
5	IGHV3-23 n=112	0.09
6	IGHV3-23 n=112	0.06
7	IGHV3-23 n=112	0.08
8	IGHV3-23 n=112	0.06
9	IGHV3-23 n=112	0.05
10	IGHV3-23 n=112	0.09
11	IGHV3-23 n=112	0.04
12	IGHV3-23 n=112	0.02
13	IGHV3-23 n=112	0.04
14	IGHV3-23 n=112	0.05
15	IGHV3-23 n=112	0.11
16	IGHV3-23 n=112	0.15
17	IGHV3-23 n=112	0.06
18	IGHV3-23 n=112	0.03
19	IGHV3-23 n=112	0.08
20	IGHV3-23 n=112	0.02
21	IGHV3-23 n=112	0.09
22	IGHV3-23 n=112	0.03
23	IGHV3-23 n=112	0.04
24	IGHV3-23 n=112	0.06
25	IGHV3-23 n=112	0.05
26	IGHV3-23 n=112	0.03
27	IGHV3-23 n=112	0.05
28	IGHV3-23 n=112	0.04
29	IGHV3-23 n=112	0.08
30	IGHV3-23 n=112	0.03
31	IGHV3-23 n=112	0.07
32	IGHV3-23 n=112	0.04
33	IGHV3-23 n=112	0.07
34	IGHV3-23 n=112	0.1
35	IGHV3-23 n=112	0.06
36	IGHV3-23 n=112	0.05
37	IGHV3-23 n=112	0.05
38	IGHV3-23 n=112	0.11
39	IGHV3-23 n=112	0.05
40	IGHV3-23 n=112	0.1
41	IGHV3-23 n=112	0.05
42	IGHV3-23 n=112	0.04
43	IGHV3-23 n=112	0.1
44	IGHV3-23 n=112	0.03
45	IGHV3-23 n=112	0.02
46	IGHV3-23 n=112	0.05
47	IGHV3-23 n=112	0.08
48	IGHV3-23 n=112	0.09
49	IGHV3-23 n=112	0.07
50	IGHV3-23 n=112	0.08
51	IGHV3-23 n=112	0.05
52	IGHV3-23 n=112	0.06
53	IGHV3-23 n=112	0.04
54	IGHV3-23 n=112	0.09
55	IGHV3-23 n=112	0.04
56	IGHV3-23 n=112	0.1
57	IGHV3-23 n=112	0.06
58	IGHV3-23 n=112	0.09
59	IGHV3-23 n=112	0.1
60	IGHV3-23 n=112	0.06
61	IGHV3-23 n=112	0.09
62	IGHV3-23 n=112	0.09
63	IGHV3-23 n=112	0.1
64	IGHV3-23 n=112	0.03
65	IGHV3-23 n=112	0.13
66	IGHV3-23 n=112	0.08
67	IGHV3-23 n=112	0.06
68	IGHV3-23 n=112	0.06
69	IGHV3-23 n=112	0.03
70	IGHV3-23 n=112	0.09
71	IGHV3-23 n=112	0.1
72	IGHV3-23 n=112	0.06
73	IGHV3-23 n=112	0.03
74	IGHV3-23 n=112	0.07
75	IGHV3-23 n=112	0.09
76	IGHV3-23 n=112	0.02
77	IGHV3-23 n=112	0.08
78	IGHV3-23 n=112	0.06
79	IGHV3-23 n=112	0.1
80	IGHV3-23 n=112	0.02
81	IGHV3-23 n=112	0.08
82	IGHV3-23 n=112	0.07
83	IGHV3-23 n=112	0.09
84	IGHV3-23 n=112	0.05
85	IGHV3-23 n=112	0.09
86	IGHV3-23 n=112	0.07
87	IGHV3-23 n=112	0.1
88	IGHV3-23 n=112	0.07
89	IGHV3-23 n=112	0.09
90	IGHV3-23 n=112	0.06
91	IGHV3-23 n=112	0.04
92	IGHV3-23 n=112	0.08
93	IGHV3-23 n=112	0.07
94	IGHV3-23 n=112	0.05
95	IGHV3-23 n=112	0.02
96	IGHV3-23 n=112	0.02
97	IGHV3-23 n=112	0.12
98	IGHV3-23 n=112	0.04
99	IGHV3-23 n=112	0.14
100	IGHV3-23 n=112	0.06
101	IGHV3-23 n=112	0.05
102	IGHV3-23 n=112	0.12
103	IGHV3-23 n=112	0.05
104	IGHV3-23 n=112	0.05
105	IGHV3-23 n=112	0.03
106	IGHV3-23 n=112	0.1
107	IGHV3-23 n=112	0.1
108	IGHV3-23 n=112	0.04
109	IGHV3-23 n=112	0.06
110	IGHV3-23 n=112	0.1
111	IGHV3-23 n=112	0.06
112	IGHV3-30 n=91	0.09
113	IGHV3-30 n=91	0.02
114	IGHV3-30 n=91	0.05
115	IGHV3-30 n=91	0.01
116	IGHV3-30 n=91	0.1
117	IGHV3-30 n=91	0.06
118	IGHV3-30 n=91	0.04
119	IGHV3-30 n=91	0.09
120	IGHV3-30 n=91	0.04
121	IGHV3-30 n=91	0.07
122	IGHV3-30 n=91	0.15
123	IGHV3-30 n=91	0.03
124	IGHV3-30 n=91	0.02
125	IGHV3-30 n=91	0.1
126	IGHV3-30 n=91	0.05
127	IGHV3-30 n=91	0.06
128	IGHV3-30 n=91	0.08
129	IGHV3-30 n=91	0.22
130	IGHV3-30 n=91	0.08
131	IGHV3-30 n=91	0.04
132	IGHV3-30 n=91	0.06
133	IGHV3-30 n=91	0.1
134	IGHV3-30 n=91	0.06
135	IGHV3-30 n=91	0.06
136	IGHV3-30 n=91	0.02
137	IGHV3-30 n=91	0.05
138	IGHV3-30 n=91	0.1
139	IGHV3-30 n=91	0.06
140	IGHV3-30 n=91	0.07
141	IGHV3-30 n=91	0.12
142	IGHV3-30 n=91	0.08
143	IGHV3-30 n=91	0.05
144	IGHV3-30 n=91	0.11
145	IGHV3-30 n=91	0.03
146	IGHV3-30 n=91	0.07
147	IGHV3-30 n=91	0.19
148	IGHV3-30 n=91	0.05
149	IGHV3-30 n=91	0.07
150	IGHV3-30 n=91	0.08
151	IGHV3-30 n=91	0.09
152	IGHV3-30 n=91	0.09
153	IGHV3-30 n=91	0.12
154	IGHV3-30 n=91	0.03
155	IGHV3-30 n=91	0.02
156	IGHV3-30 n=91	0.04
157	IGHV3-30 n=91	0.06
158	IGHV3-30 n=91	0.08
159	IGHV3-30 n=91	0.04
160	IGHV3-30 n=91	0.06
161	IGHV3-30 n=91	0.09
162	IGHV3-30 n=91	0.09
163	IGHV3-30 n=91	0.09
164	IGHV3-30 n=91	0.07
165	IGHV3-30 n=91	0.11
166	IGHV3-30 n=91	0.06
167	IGHV3-30 n=91	0.05
168	IGHV3-30 n=91	0.05
169	IGHV3-30 n=91	0.09
170	IGHV3-30 n=91	0.05
171	IGHV3-30 n=91	0.01
172	IGHV3-30 n=91	0.11
173	IGHV3-30 n=91	0.05
174	IGHV3-30 n=91	0.12
175	IGHV3-30 n=91	0.06
176	IGHV3-30 n=91	0.04
177	IGHV3-30 n=91	0.03
178	IGHV3-30 n=91	0.06
179	IGHV3-30 n=91	0.07
180	IGHV3-30 n=91	0.03
181	IGHV3-30 n=91	0.1
182	IGHV3-30 n=91	0.11
183	IGHV3-30 n=91	0.11
184	IGHV3-30 n=91	0.11
185	IGHV3-30 n=91	0.09
186	IGHV3-30 n=91	0.04
187	IGHV3-30 n=91	0.08
188	IGHV3-30 n=91	0.1
189	IGHV3-30 n=91	0.11
190	IGHV3-30 n=91	0.03
191	IGHV3-30 n=91	0.1
192	IGHV3-30 n=91	0.08
193	IGHV3-30 n=91	0.09
194	IGHV3-30 n=91	0.08
195	IGHV3-30 n=91	0.03
196	IGHV3-30 n=91	0.07
197	IGHV3-30 n=91	0.03
198	IGHV3-30 n=91	0.03
199	IGHV3-30 n=91	0.05
200	IGHV3-30 n=91	0.11
201	IGHV3-30 n=91	0.13
202	IGHV3-30 n=91	0.06
203	IGHV3-7 n=68	0.01
204	IGHV3-7 n=68	0.0
205	IGHV3-7 n=68	0.04
206	IGHV3-7 n=68	0.04
207	IGHV3-7 n=68	0.05
208	IGHV3-7 n=68	0.06
209	IGHV3-7 n=68	0.03
210	IGHV3-7 n=68	0.04
211	IGHV3-7 n=68	0.03
212	IGHV3-7 n=68	0.04
213	IGHV3-7 n=68	0.0
214	IGHV3-7 n=68	0.04
215	IGHV3-7 n=68	0.08
216	IGHV3-7 n=68	0.04
217	IGHV3-7 n=68	0.02
218	IGHV3-7 n=68	0.07
219	IGHV3-7 n=68	0.03
220	IGHV3-7 n=68	0.05
221	IGHV3-7 n=68	0.1
222	IGHV3-7 n=68	0.08
223	IGHV3-7 n=68	0.03
224	IGHV3-7 n=68	0.02
